activity,body_acc_x,body_acc_y,body_acc_z,body_gyro_x,body_gyro_y,body_gyro_z,total_acc_x,total_acc_y,total_acc_z
5,0.000180852,0.01076681,0.05556068,0.03019122,0.06601362,0.02285864,1.012817,-0.1232167,0.1029341
5,0.01013856,0.00657948,0.05512483,0.04371071,0.04269897,0.01031572,1.022833,-0.1268756,0.1056872
5,0.009275574,0.008928878,0.04840473,0.0356878,0.07485018,0.01324969,1.022028,-0.1240037,0.1021025
5,0.005065897,0.007488683,0.04977497,0.0404021,0.05731974,0.01775121,1.017877,-0.1249279,0.1065527
5,0.01081025,0.006140966,0.04301314,0.04709654,0.05234284,0.002553367,1.02368,-0.1257667,0.1028135
5,0.004045101,0.006944317,0.04472929,0.05018473,0.06917394,0.007724708,1.016974,-0.124462,0.1074931
5,0.004757375,0.003552423,0.04371898,0.05054452,0.0498667,0.004324535,1.017746,-0.1273606,0.1093857
5,0.006213647,0.002537128,0.03537854,0.04499207,0.05675081,0.01061698,1.019263,-0.1278912,0.1038862
5,0.003306744,0.004084532,0.03118777,0.04768623,0.05818872,0.01718869,1.016417,-0.1258682,0.1024732
5,0.007571941,0.005118448,0.02356719,0.04681215,0.04319882,0.0105107,1.020745,-0.1243682,0.0975659
5,0.005407117,0.005892268,0.02100047,0.04648827,0.05577766,0.01509803,1.018643,-0.1231382,0.09764665
5,0.006221276,0.007249871,0.016147,0.04730417,0.04765018,0.01157841,1.019521,-0.1213345,0.09537356
5,0.006895028,0.009790774,0.0119325,0.03802952,0.04950402,0.0132005,1.02026,-0.1183578,0.09367106
5,0.00461026,0.007661138,0.01503767,0.03093736,0.05151212,0.01635518,1.018041,-0.120062,0.09921876
5,0.007331333,0.00518936,0.01342049,0.02790837,0.03705788,0.01317292,1.020829,-0.1221186,0.09997368
5,0.005077667,0.006823079,0.01004153,0.02614282,0.0527994,0.01640941,1.018644,-0.12008,0.09889572
5,0.005762556,0.005606931,0.005198976,0.02528027,0.05284313,0.01151064,1.019398,-0.1209017,0.0962825
5,0.006692748,0.004729647,0.004417609,0.02342591,0.05009809,0.009523455,1.020399,-0.1213949,0.09765831
5,0.005443238,0.004183207,0.005115478,0.02470455,0.05729133,0.008297546,1.019222,-0.1215677,0.1004408
5,0.008240952,0.000706634,0.001132596,0.02689775,0.05279203,0.005482304,1.022093,-0.1246812,0.09846986
5,0.006506451,-0.000454437,0.002293523,0.02787343,0.05280419,0.005960526,1.020433,-0.1254896,0.1015699
5,0.006531523,-0.000241067,0.000963131,0.0316086,0.04361139,-0.000366814,1.020534,-0.1249345,0.1021059
5,0.007422441,-0.000543869,-0.002421895,0.03910354,0.04668125,0.005606801,1.021503,-0.1249063,0.1005147
5,0.005771769,-0.000949984,-0.002543873,0.0448533,0.05079353,0.01295289,1.019931,-0.1249926,0.1021144
5,0.006240187,-0.001421207,-0.005352179,0.04257956,0.03991168,0.009089979,1.02048,-0.1251552,0.100956
5,0.004622982,-0.001361999,-0.006410035,0.03940484,0.04022029,0.01051749,1.018945,-0.1247985,0.1014768
5,0.004832962,-0.00232884,-0.007964334,0.04165603,0.03499555,0.008128106,1.019238,-0.1254793,0.1014304
5,0.005498746,-0.00393101,-0.01074676,0.04051437,0.03389096,0.005713947,1.019989,-0.1268068,0.1000858
5,0.004341186,-0.004676219,-0.01239215,0.03848405,0.03897223,0.007487914,1.018917,-0.1272888,0.09980876
5,0.005098018,-0.00135205,-0.01606806,0.04045705,0.03509487,0.007528194,1.019762,-0.123713,0.09743248
5,0.004268742,0.002857771,-0.01952699,0.0397349,0.03188229,0.01188285,1.019021,-0.1192631,0.09520512
5,0.003045187,-0.000804551,-0.02220555,0.0405064,0.02679002,0.01483568,1.017887,-0.1226967,0.09369074
5,0.003204192,-0.005447914,-0.02264173,0.04339332,0.02586305,0.0138678,1.018136,-0.1271224,0.09435198
5,0.0045204,-0.004810002,-0.02207232,0.04602325,0.02576626,0.01452139,1.019543,-0.126278,0.09595278
5,0.005127211,-0.004869238,-0.02033109,0.04998989,0.02624088,0.0150046,1.020242,-0.1261419,0.0986602
5,0.003549791,-0.004080336,-0.01490971,0.04859361,0.03086369,0.01457854,1.018757,-0.1251686,0.1049836
5,0.004234233,-0.000679112,-0.01410745,0.04658272,0.02776856,0.01579341,1.019534,-0.121594,0.1066249
5,0.00446867,0.001696425,-0.01509571,0.0456745,0.02680273,0.01629297,1.019862,-0.1190558,0.1064143
5,0.003572702,0.002687273,-0.01274282,0.04078753,0.02901573,0.01396439,1.01906,-0.1179128,0.109485
5,0.005136278,0.003054424,-0.01528553,0.03801871,0.02779686,0.01248284,1.020717,-0.1174034,0.107602
5,0.005379786,0.003114898,-0.02040135,0.03202615,0.02835536,0.008985471,1.021055,-0.1172102,0.1030893
5,0.00440852,0.002052629,-0.02351049,0.02327556,0.02949975,0.004736059,1.020178,-0.1181487,0.1005282
5,0.002244039,0.001515292,-0.02482573,0.02196205,0.03039095,0.004896194,1.018108,-0.1185709,0.09970745
5,-0.001183598,0.00207083,-0.024356,0.02105109,0.02523661,0.005153667,1.014776,-0.1179084,0.1006193
5,-0.000679534,-0.000626623,-0.02528921,0.01889691,0.01934972,0.0113213,1.015374,-0.1205067,0.1000773
5,0.002281389,-0.004514772,-0.02351453,0.02212835,0.02338269,0.02079463,1.018429,-0.1243031,0.1021935
5,0.003653728,-0.005925923,-0.01848243,0.02535976,0.02551467,0.01748272,1.019895,-0.1256299,0.107519
5,0.002312639,-0.005062805,-0.01730019,0.02339566,0.01951382,0.01374343,1.018647,-0.1246896,0.108948
5,-4.04E-05,-0.002244477,-0.01922518,0.02117075,0.01576721,0.01814381,1.016387,-0.1218014,0.107225
5,0.000534225,-0.000786088,-0.02209267,0.01873564,0.01682286,0.01794942,1.017053,-0.1202801,0.1045164
5,0.002963263,-0.001218282,-0.02442541,0.01343449,0.01638477,0.01797547,1.019572,-0.1206562,0.102301
5,0.004399468,-0.001676407,-0.02855689,0.01204735,0.01485117,0.02099681,1.021097,-0.1210648,0.09824694
5,0.002702339,-0.002273432,-0.03300622,0.0125549,0.01521754,0.02094493,1.019488,-0.1216185,0.09383632
5,0.000345231,-0.004803613,-0.02600015,0.01003727,0.0163432,0.0183996,1.017218,-0.1241114,0.1008436
5,0.002916911,-0.008823154,-0.0178653,0.01151235,0.01907281,0.01098771,1.019876,-0.1280997,0.1089435
5,0.004978556,-0.008774635,-0.02302448,0.01590435,0.02131422,0.004335124,1.022022,-0.1280257,0.1037146
5,0.00344687,-0.007305396,-0.02613965,0.01810753,0.02026724,0.004312245,1.020574,-0.126537,0.1004966
5,0.004378151,-0.00822922,-0.02246608,0.01600329,0.02050372,0.006344854,1.021588,-0.1274474,0.1040357
5,0.00500617,-0.008141506,-0.02384026,0.0117786,0.02248609,0.00852602,1.022298,-0.1273523,0.1024968
5,0.001996795,-0.007250328,-0.02596191,0.01449999,0.02122213,0.008615965,1.019369,-0.1264597,0.1001817
5,-0.00047186,-0.005531581,-0.025649,0.01688044,0.01993555,0.006999244,1.01698,-0.1247455,0.1002736
5,-0.000755568,-0.004444861,-0.02645046,0.01424718,0.01940925,0.007209817,1.016774,-0.1236691,0.09922501
5,-0.00152817,-0.003666564,-0.02601143,0.01584726,0.01228776,0.00812294,1.016079,-0.1229069,0.09939194
5,0.001093752,-0.004687588,-0.02685954,0.01711106,0.006122797,0.01226815,1.018851,-0.123976,0.09792958
5,0.004550077,-0.007487894,-0.02509841,0.02417851,0.009710357,0.01614958,1.02238,-0.1268078,0.09935086
5,0.002879173,-0.008429991,-0.02597534,0.03022889,0.01032192,0.01589471,1.020781,-0.1277862,0.09811381
5,0.002247428,-0.007257599,-0.02619276,0.03202858,0.01341607,0.01267118,1.020218,-0.1266547,0.09751712
5,0.003304683,-0.004190853,-0.02584064,0.03126624,0.01685763,0.008774044,1.021344,-0.1236336,0.0974719
5,0.002415886,-0.005425981,-0.02632141,0.02825407,0.01593049,0.005685091,1.020522,-0.1249187,0.09657678
5,0.001618559,-0.004753452,-0.02472722,0.01964329,0.01353088,0.006092832,1.01979,-0.1243005,0.09774064
5,0.000981352,-0.00019275,-0.02471338,0.01117694,0.0117392,0.008383453,1.019216,-0.1197982,0.09730921
5,8.89E-06,0.000445235,-0.02340456,0.01112387,0.0115503,0.01113997,1.018307,-0.1192223,0.09815882
5,-0.000362765,-0.000441014,-0.01992557,0.01062127,0.01049437,0.01240639,1.017996,-0.120174,0.1011657
5,-0.000487023,-0.001514938,-0.01898631,0.009929081,0.007872243,0.0119422,1.017932,-0.1213162,0.1016211
5,-0.000355958,-0.002419472,-0.01853955,0.01242206,0.008399571,0.01425919,1.018121,-0.1222915,0.1015734
5,-0.000229161,-0.00654884,-0.01844216,0.01275073,0.00848392,0.01532931,1.018305,-0.1264941,0.1011669
5,-0.00013115,-0.01261049,-0.01773727,0.01346378,0.007177491,0.01358108,1.018458,-0.132631,0.1013595
5,-0.000441148,-0.008526039,-0.01743881,0.01419488,0.005249931,0.01666432,1.018201,-0.1286242,0.1011384
5,-0.001565163,-0.001836966,-0.01881304,0.01341148,0.003183719,0.0195562,1.017129,-0.122015,0.09923839
5,-0.000929403,-0.001594163,-0.01693978,0.0101479,0.005777743,0.01841148,1.017814,-0.1218544,0.1005806
5,8.72E-06,-0.000866285,-0.01448156,0.004553559,0.006040837,0.01835649,1.0188,-0.1212108,0.1025034
5,-0.001236221,-0.000172597,-0.01627775,0.001828984,0.006527122,0.01396835,1.017601,-0.120603,0.1001684
5,-0.000911247,-0.000430285,-0.01730822,0.001266265,0.009679867,0.008665903,1.01797,-0.1209479,0.09859667
5,-0.000435034,-0.000612202,-0.01458218,0.001610473,0.004460567,0.01096347,1.018489,-0.1212181,0.1007798
5,-0.001176794,-0.002986203,-0.01445833,0.001983985,0.001063257,0.01193223,1.017787,-0.1236811,0.1003598
5,0.000164614,-0.004768586,-0.01507422,0.00255801,0.004586615,0.009651963,1.019167,-0.1255531,0.09920002
5,0.000750828,-0.003324209,-0.01201679,0.004083133,0.006931871,0.009057493,1.019789,-0.1241987,0.1017142
5,0.000388663,-0.001192537,-0.01171715,0.002218837,0.007198959,0.008856516,1.019462,-0.1221575,0.101472
